y_am_pef,tempin,humidin,pm25in,co2in,tempdiffin,humidiffin,pm25diffin,pm10,pm25,o3,no2,co,so2,temp,windsd,humid,varp,dewpt,airp,seap,solrhr,solramnt,grdt,class
0.217,0.369,0.14,0.218,0.317,0.792,0.549,0.528,0.283,0.101,0.433,0.098,0.208,0.333,0.233,0.476,0.11,0.04,0.17,0.623,0.629,0.648,0.237,0.115,0
0.288,0.693,0.495,0.516,0.375,0.433,0.117,0.007,0.999,0.933,0.133,0.627,0.613,0.556,0.623,0.036,0.815,0.417,0.701,0.541,0.533,0.549,0.173,0.378,1
0.341,0.268,0.279,0.355,0.336,0.64,0.346,0.477,0.443,0.273,0.167,0.392,0.301,0.444,0.348,0.226,0.418,0.126,0.377,0.582,0.585,0.656,0.215,0.202,1
0.246,0.409,0.295,0.504,0.295,0.574,0.76,0.668,0.389,0.183,0.467,0.176,0.208,0.222,0.437,0.512,0.048,0.081,0.281,0.684,0.681,0.656,0.298,0.331,1
0.375,0.761,0.793,0.462,0.32,0.234,0.534,0.368,0.507,0.484,0.333,0.49,0.434,0.222,0.815,0.079,0.684,0.596,0.815,0.584,0.572,0.567,0.531,0.715,1
0.257,0.411,0.116,0.14,0.3,0.877,0.441,0.463,0.256,0.108,0.433,0.059,0.133,0.222,0.166,0.606,0.19,0.037,0.16,0.834,0.838,0.821,0.306,0.079,1
0.389522523,0.648730636,0.507171988,0.64791441,0.363912433,0.446827918,0.315445513,0.326052785,0.776541054,0.699030995,0.233338445,0.624297023,0.622783601,0.499949604,0.613902807,0.13914524,0.681837499,0.364946872,0.660433471,0.591760993,0.520109117,0.431296885,0.220096692,0.48150903,0
0.217,0.408,0.209,0.174,0.31,0.744,0.478,0.495,0.288,0.101,0.3,0.137,0.237,0.222,0.284,0.429,0.235,0.074,0.265,0.927,0.925,0.73,0.23,0.188,1
0.31461694836616516,0.2779444754123688,0.15501129627227783,0.1717250645160675,0.37877628207206726,0.7988148331642151,0.5366458892822266,0.49945053458213806,0.2994222342967987,0.08182252198457718,0.1813310831785202,0.2820501923561096,0.23004738986492157,0.2116203010082245,0.19959889352321625,0.18867127597332,0.16812223196029663,0.024173032492399216,0.17275786399841309,0.8380661606788635,0.8547235727310181,0.788542628288269,0.2396308183670044,0.12894213199615479,0
0.3121894896030426,0.376948744058609,0.26452505588531494,0.32458046078681946,0.3792745769023895,0.6635488867759705,0.43559399247169495,0.4101906418800354,0.4913689196109772,0.27653050422668457,0.12542091310024261,0.5463396310806274,0.4723104238510132,0.3025713860988617,0.3394121825695038,0.08155258744955063,0.33567318320274353,0.07491495460271835,0.33080530166625977,0.8142917156219482,0.8112152218818665,0.6607365608215332,0.2392624318599701,0.21831580996513367,0
0.326,0.456,0.091,0.08,0.233,0.775,0.609,0.456,0.243,0.066,0.233,0.216,0.248,0.222,0.267,0.187,0.013,0.036,0.153,0.923,0.922,0.754,0.228,0.2,1
0.131,0.424,0.27,0.529,0.393,0.59,0.638,0.706,0.353,0.162,0.233,0.353,0.352,0.222,0.425,0.093,0.139,0.099,0.311,0.747,0.743,0.598,0.233,0.285,1
0.28725457191467285,0.5518495440483093,0.33088940382003784,0.23475821316242218,0.35381457209587097,0.5778703093528748,0.5023547410964966,0.5084787011146545,0.3610931932926178,0.12038319557905197,0.30703282356262207,0.21076616644859314,0.2401447743177414,0.24343876540660858,0.4510767459869385,0.3538241684436798,0.3295343816280365,0.13742823898792267,0.40255674719810486,0.6729368567466736,0.6644324064254761,0.5653889179229736,0.2697966992855072,0.31015902757644653,0
0.408,0.382,0.097,0.132,0.159,0.889,0.502,0.472,0.269,0.091,0.433,0.039,0.104,0.222,0.149,0.847,0.117,0.025,0.117,0.742,0.748,0.829,0.316,0.075,1
0.259,0.527,0.481,0.585,0.387,0.513,0.3,0.158,0.926,0.821,0.133,0.843,0.48,0.556,0.516,0.06,0.633,0.268,0.569,0.632,0.627,0.64,0.193,0.325,0
0.313,0.516,0.369,0.161,0.45,0.544,0.448,0.354,0.388,0.248,0.033,0.51,0.498,0.222,0.486,0.187,0.4,0.189,0.467,0.461,0.461,0.624,0.204,0.298,1
0.397,0.771,0.486,0.372,0.235,0.322,0.535,0.555,0.403,0.199,0.367,0.333,0.237,0.222,0.738,0.247,0.42,0.377,0.666,0.312,0.308,0.976,0.908,0.702,1
0.29870155453681946,0.286180704832077,0.11973665654659271,0.16476531326770782,0.2793067693710327,0.8509623408317566,0.5107214450836182,0.5660516619682312,0.2848667502403259,0.04048504680395126,0.44184932112693787,0.04375744238495827,0.1033986359834671,0.16097378730773926,0.1750841587781906,0.7441993951797485,0.09505467861890793,0.023419203236699104,0.12489000707864761,0.7209551334381104,0.7527372241020203,0.7294914126396179,0.2400590181350708,0.09494589269161224,0
0.305831939,0.631097972,0.463416278,0.466848582,0.373942673,0.480711937,0.402112752,0.491220951,0.558238029,0.360838056,0.191762671,0.509491444,0.580634713,0.398485124,0.571837544,0.166678056,0.528682053,0.337737352,0.489700645,0.711953282,0.660994172,0.409865379,0.211774543,0.467646897,0
0.191,0.756,0.933,0.174,0.851,0.123,0.724,0.549,0.225,0.04,0.467,0.157,0.035,0.333,0.913,0.361,0.628,0.694,0.869,0.438,0.424,0.656,0.582,0.816,0
0.3191329836845398,0.5164735913276672,0.42857855558395386,0.6190412044525146,0.3779149651527405,0.5347673892974854,0.289411336183548,0.32516199350357056,0.775324821472168,0.7474521398544312,0.15735012292861938,0.7674067616462708,0.7626849412918091,0.46532607078552246,0.5219014286994934,0.05000606179237366,0.5964003801345825,0.281849205493927,0.5568002462387085,0.713213324546814,0.6971396803855896,0.4561992883682251,0.21430552005767822,0.37375402450561523,0
0.3146993815898895,0.44501495361328125,0.3727971315383911,0.6093058586120605,0.30449461936950684,0.6345146298408508,0.3204360604286194,0.404325932264328,0.7423650622367859,0.6310149431228638,0.32887664437294006,0.45800140500068665,0.6216665506362915,0.44485676288604736,0.429058700799942,0.24257813394069672,0.4497681260108948,0.2595028281211853,0.43579545617103577,0.5906907320022583,0.5870681405067444,0.48159924149513245,0.25525978207588196,0.2930895984172821,0
0.304,0.355,0.339,0.257,0.325,0.616,0.046,0.395,0.405,0.282,0.033,0.49,0.664,0.111,0.387,0.276,0.746,0.212,0.498,0.905,0.9,0.28,0.129,0.226,1
0.457,0.425,0.115,0.132,0.164,0.682,0.503,0.548,0.222,0.007,0.367,0.039,0.491,0.222,0.343,0.603,0.131,0.072,0.26,0.736,0.735,0.764,0.274,0.288,1
0.31048497557640076,0.3283139765262604,0.1852588951587677,0.21018263697624207,0.33670729398727417,0.7763426303863525,0.5189576745033264,0.5262057185173035,0.3359391987323761,0.09080374985933304,0.3080883026123047,0.16522316634655,0.2043863981962204,0.22425368428230286,0.23851199448108673,0.4086056351661682,0.17666390538215637,0.04401188716292381,0.20012527704238892,0.7446946501731873,0.7642703056335449,0.7236514687538147,0.2643877863883972,0.15299470722675323,0
0.31,0.556,0.429,0.796,0.357,0.576,0.31,0.623,0.599,0.477,0.167,0.49,0.503,0.222,0.466,0.107,0.58,0.218,0.512,0.662,0.658,0.394,0.223,0.291,0
0.397,0.539,0.498,0.244,0.253,0.168,0.65,0.325,0.45,0.35,0.6,0.471,0.347,0.333,0.828,0.072,0.324,0.402,0.679,0.508,0.497,0.902,0.815,0.766,1
0.3020818531513214,0.22849656641483307,0.0839582309126854,0.12554362416267395,0.28104865550994873,0.8924697637557983,0.5461494326591492,0.5818324089050293,0.23475924134254456,0.02331431955099106,0.4431743621826172,0.029914280399680138,0.07448115199804306,0.12914755940437317,0.12768962979316711,0.7777771949768066,0.05801630765199661,0.011516327038407326,0.08202069252729416,0.7666614055633545,0.8043095469474792,0.7994129657745361,0.2417222410440445,0.06584582477807999,0
0.312924057,0.35777387,0.203500018,0.222851574,0.328841567,0.770622671,0.537831128,0.56240201,0.32387507,0.08903788,0.387297451,0.106566176,0.161534294,0.254579723,0.247963518,0.555310369,0.190439746,0.053060446,0.222210243,0.735524237,0.712005198,0.695868671,0.291305304,0.161407292,0
0.45,0.501,0.784,0.379,0.484,0.151,0.55,0.277,0.492,0.517,0.5,0.412,0.341,0.667,0.834,0.152,0.661,0.594,0.817,0.394,0.385,0.992,0.846,0.825,1
0.377,0.425,0.212,0.199,0.303,0.757,0.378,0.541,0.334,0.071,0.2,0.216,0.456,0.111,0.276,0.349,0.33,0.084,0.289,0.988,0.985,0.722,0.227,0.15,1
0.37,0.645,0.445,0.134,0.257,0.405,0.693,0.521,0.211,0.038,0.367,0.235,0.122,0.0,0.637,0.334,0.238,0.225,0.522,0.783,0.773,0.919,0.759,0.571,0
0.2783034145832062,0.5793180465698242,0.3710419833660126,0.6424784064292908,0.2521079182624817,0.5908730030059814,0.14385128021240234,0.3431283235549927,0.7898115515708923,0.7371137738227844,0.22099466621875763,0.5017089247703552,0.6506377458572388,0.48094749450683594,0.4753863215446472,0.20918402075767517,0.723876953125,0.3196393847465515,0.5703089833259583,0.6033793091773987,0.5893991589546204,0.16758163273334503,0.08067528903484344,0.2968055307865143,0
0.31072038412094116,0.46766746044158936,0.32947930693626404,0.2737610936164856,0.3926420211791992,0.6007840037345886,0.5603419542312622,0.48783281445503235,0.40769314765930176,0.16412226855754852,0.2707286775112152,0.3259233832359314,0.32855355739593506,0.2651888430118561,0.4232513904571533,0.2205761820077896,0.26957666873931885,0.11981542408466339,0.36130237579345703,0.714260995388031,0.7112435698509216,0.7035617828369141,0.3621535301208496,0.2993459105491638,0
0.30483201146125793,0.5920951962471008,0.384952574968338,0.16307716071605682,0.46909254789352417,0.4887375235557556,0.6782940030097961,0.5193226933479309,0.26888707280158997,0.07214382290840149,0.2684471011161804,0.29577571153640747,0.2277405709028244,0.19728048145771027,0.5336862802505493,0.1877281665802002,0.25340884923934937,0.1276257336139679,0.4288584291934967,0.7375538349151611,0.7256937026977539,0.7550113201141357,0.43480536341667175,0.40674206614494324,0
0.28364646434783936,0.7753908634185791,0.5279111266136169,0.3737517297267914,0.35670968890190125,0.38240882754325867,0.3961094319820404,0.4831221103668213,0.5126743912696838,0.26770922541618347,0.4711664319038391,0.2182978391647339,0.3172750771045685,0.3233470022678375,0.6841465830802917,0.4792475700378418,0.5724229216575623,0.4670172333717346,0.6570349931716919,0.47392264008522034,0.45615968108177185,0.2955818772315979,0.2423165887594223,0.5371254682540894,0
0.33,0.465,0.219,0.183,0.442,0.751,0.341,0.501,0.356,0.101,0.2,0.275,0.243,0.222,0.29,0.176,0.371,0.1,0.304,0.877,0.875,0.754,0.219,0.2,1
0.3200536370277405,0.6721971035003662,0.5239642858505249,0.31478622555732727,0.48868241906166077,0.375956654548645,0.6163227558135986,0.45867079496383667,0.4566250443458557,0.2319391965866089,0.2921798527240753,0.4857788681983948,0.4257562756538391,0.28707754611968994,0.6658494472503662,0.12678007781505585,0.3772233724594116,0.30181726813316345,0.5797334313392639,0.6643547415733337,0.6461546421051025,0.6752034425735474,0.4764360785484314,0.543220579624176,0
0.297388643,0.367192507,0.211856276,0.203280449,0.339761287,0.745678782,0.565227568,0.592169762,0.274371088,0.06943325,0.342336804,0.125436574,0.192309976,0.245462358,0.264636159,0.503414154,0.184716657,0.062678806,0.205168664,0.764731765,0.751703143,0.674345672,0.288959324,0.183440462,0
0.197,0.611,0.478,0.194,0.277,0.25,0.73,0.405,0.285,0.218,0.333,0.49,0.283,0.222,0.77,0.17,0.232,0.308,0.604,0.56,0.55,0.992,0.916,0.699,1
0.2967921197414398,0.5436962246894836,0.33589309453964233,0.2902204394340515,0.3156331181526184,0.6023787260055542,0.4676975607872009,0.5254063010215759,0.4089091718196869,0.1490054577589035,0.43172550201416016,0.1399785876274109,0.23336239159107208,0.2696683704853058,0.4398834705352783,0.5749309659004211,0.3329292833805084,0.18270952999591827,0.39714425802230835,0.5745872855186462,0.5648542642593384,0.5061872601509094,0.278748482465744,0.3037373125553131,0
0.441,0.115,0.151,0.275,0.245,0.726,0.266,0.474,0.348,0.209,0.133,0.549,0.567,0.333,0.238,0.0,0.382,0.079,0.273,0.741,0.745,0.803,0.29,0.126,0
